sample_id,country_name,region_name,Cluster,Plot
icr005928,Tanzania,Chinyanghuku,1,1
icr005929,Tanzania,Chinyanghuku,1,1
icr005946,Tanzania,Chinyanghuku,2,1
icr005947,Tanzania,Chinyanghuku,2,1
icr005965,Tanzania,Chinyanghuku,3,1
icr005966,Tanzania,Chinyanghuku,3,1
icr005985,Tanzania,Chinyanghuku,4,2
icr005986,Tanzania,Chinyanghuku,4,2
icr005998,Tanzania,Chinyanghuku,5,1
icr005999,Tanzania,Chinyanghuku,5,1
icr006015,Tanzania,Chinyanghuku,6,1
icr006016,Tanzania,Chinyanghuku,6,1
icr006035,Tanzania,Chinyanghuku,7,1
icr006036,Tanzania,Chinyanghuku,7,1
icr006055,Tanzania,Chinyanghuku,8,1
icr006056,Tanzania,Chinyanghuku,8,1
icr006076,Tanzania,Chinyanghuku,9,5
icr006077,Tanzania,Chinyanghuku,9,5
icr006085,Tanzania,Chinyanghuku,10,2
icr006086,Tanzania,Chinyanghuku,10,2
icr006101,Tanzania,Chinyanghuku,11,1
icr006102,Tanzania,Chinyanghuku,11,1
icr006121,Tanzania,Chinyanghuku,12,1
icr006122,Tanzania,Chinyanghuku,12,1
icr006142,Tanzania,Chinyanghuku,13,5
icr006143,Tanzania,Chinyanghuku,13,5
icr006152,Tanzania,Chinyanghuku,14,3
icr006153,Tanzania,Chinyanghuku,14,3
icr006164,Tanzania,Chinyanghuku,15,2
icr006165,Tanzania,Chinyanghuku,15,2
icr006179,Tanzania,Chinyanghuku,16,1
icr006180,Tanzania,Chinyanghuku,16,1
icr006454,Tanzania,Pandambili,1,1
icr006455,Tanzania,Pandambili,1,1
icr006474,Tanzania,Pandambili,2,1
icr006475,Tanzania,Pandambili,2,1
icr006492,Tanzania,Pandambili,3,1
icr006493,Tanzania,Pandambili,3,1
icr006510,Tanzania,Pandambili,4,1
icr006511,Tanzania,Pandambili,4,1
icr006530,Tanzania,Pandambili,5,1
icr006531,Tanzania,Pandambili,5,1
icr006550,Tanzania,Pandambili,6,1
icr006551,Tanzania,Pandambili,6,1
icr006570,Tanzania,Pandambili,7,2
icr006571,Tanzania,Pandambili,7,2
icr006586,Tanzania,Pandambili,8,1
icr006587,Tanzania,Pandambili,8,1
icr006606,Tanzania,Pandambili,9,1
icr006607,Tanzania,Pandambili,9,1
icr006626,Tanzania,Pandambili,10,1
icr006627,Tanzania,Pandambili,10,1
icr006646,Tanzania,Pandambili,11,1
icr006647,Tanzania,Pandambili,11,1
icr006666,Tanzania,Pandambili,12,1
icr006667,Tanzania,Pandambili,12,1
icr006684,Tanzania,Pandambili,13,1
icr006685,Tanzania,Pandambili,13,1
icr006704,Tanzania,Pandambili,14,1
icr006705,Tanzania,Pandambili,14,1
icr006724,Tanzania,Pandambili,15,1
icr006725,Tanzania,Pandambili,15,1
icr006744,Tanzania,Pandambili,16,1
icr006745,Tanzania,Pandambili,16,1
icr007730,Tanzania,Kiberashi,1,1
icr007731,Tanzania,Kiberashi,1,1
icr007750,Tanzania,Kiberashi,2,1
icr007751,Tanzania,Kiberashi,2,1
icr007770,Tanzania,Kiberashi,3,1
icr007771,Tanzania,Kiberashi,3,1
icr007790,Tanzania,Kiberashi,4,1
icr007791,Tanzania,Kiberashi,4,1
icr007810,Tanzania,Kiberashi,5,1
icr007811,Tanzania,Kiberashi,5,1
icr007830,Tanzania,Kiberashi,6,1
icr007831,Tanzania,Kiberashi,6,1
icr007850,Tanzania,Kiberashi,7,1
icr007851,Tanzania,Kiberashi,7,1
icr007870,Tanzania,Kiberashi,8,1
icr007871,Tanzania,Kiberashi,8,1
icr007890,Tanzania,Kiberashi,9,1
icr007891,Tanzania,Kiberashi,9,1
icr007910,Tanzania,Kiberashi,10,1
icr007911,Tanzania,Kiberashi,10,1
icr007928,Tanzania,Kiberashi,11,1
icr007929,Tanzania,Kiberashi,11,1
icr007949,Tanzania,Kiberashi,12,2
icr007950,Tanzania,Kiberashi,12,2
icr007967,Tanzania,Kiberashi,13,1
icr007968,Tanzania,Kiberashi,13,1
icr007987,Tanzania,Kiberashi,14,1
icr007988,Tanzania,Kiberashi,14,1
icr008007,Tanzania,Kiberashi,15,1
icr008008,Tanzania,Kiberashi,15,1
icr008027,Tanzania,Kiberashi,16,1
icr008028,Tanzania,Kiberashi,16,1
icr009918,Tanzania,Mbinga,1,1
icr009919,Tanzania,Mbinga,1,1
icr009938,Tanzania,Mbinga,2,1
icr009939,Tanzania,Mbinga,2,1
icr009958,Tanzania,Mbinga,3,1
icr009959,Tanzania,Mbinga,3,1
icr009978,Tanzania,Mbinga,4,1
icr009979,Tanzania,Mbinga,4,1
icr009998,Tanzania,Mbinga,5,1
icr009999,Tanzania,Mbinga,5,1
icr010018,Tanzania,Mbinga,6,1
icr010019,Tanzania,Mbinga,6,1
icr010038,Tanzania,Mbinga,7,1
icr010039,Tanzania,Mbinga,7,1
icr010058,Tanzania,Mbinga,8,1
icr010059,Tanzania,Mbinga,8,1
icr010078,Tanzania,Mbinga,9,1
icr010079,Tanzania,Mbinga,9,1
icr010098,Tanzania,Mbinga,10,1
icr010099,Tanzania,Mbinga,10,1
icr010118,Tanzania,Mbinga,11,1
icr010119,Tanzania,Mbinga,11,1
icr010138,Tanzania,Mbinga,12,1
icr010139,Tanzania,Mbinga,12,1
icr010158,Tanzania,Mbinga,13,1
icr010159,Tanzania,Mbinga,13,1
icr010178,Tanzania,Mbinga,14,1
icr010179,Tanzania,Mbinga,14,1
icr010198,Tanzania,Mbinga,15,1
icr010199,Tanzania,Mbinga,15,1
icr010218,Tanzania,Mbinga,16,1
icr010219,Tanzania,Mbinga,16,1
icr010335,Mali,Kontela,1,1
icr010336,Mali,Kontela,1,1
icr010355,Mali,Kontela,2,1
icr010356,Mali,Kontela,2,1
icr010375,Mali,Kontela,3,1
icr010376,Mali,Kontela,3,1
icr010395,Mali,Kontela,4,1
icr010396,Mali,Kontela,4,1
icr010415,Mali,Kontela,5,1
icr010416,Mali,Kontela,5,1
icr010435,Mali,Kontela,6,1
icr010436,Mali,Kontela,6,1
icr010455,Mali,Kontela,7,1
icr010456,Mali,Kontela,7,1
icr010475,Mali,Kontela,8,1
icr010476,Mali,Kontela,8,1
icr010495,Mali,Kontela,9,1
icr010496,Mali,Kontela,9,1
icr010515,Mali,Kontela,10,1
icr010516,Mali,Kontela,10,1
icr010535,Mali,Kontela,11,1
icr010536,Mali,Kontela,11,1
icr010555,Mali,Kontela,12,1
icr010556,Mali,Kontela,12,1
icr010575,Mali,Kontela,13,1
icr010576,Mali,Kontela,13,1
icr010595,Mali,Kontela,14,1
icr010596,Mali,Kontela,14,1
icr010615,Mali,Kontela,15,1
icr010616,Mali,Kontela,15,1
icr010635,Mali,Kontela,16,1
icr010636,Mali,Kontela,16,1
icr010687,Mali,Koloko,1,1
icr010688,Mali,Koloko,1,1
icr010707,Mali,Koloko,2,1
icr010708,Mali,Koloko,2,1
icr010727,Mali,Koloko,3,1
icr010728,Mali,Koloko,3,1
icr010747,Mali,Koloko,4,1
icr010748,Mali,Koloko,4,1
icr010767,Mali,Koloko,5,1
icr010768,Mali,Koloko,5,1
icr010787,Mali,Koloko,6,1
icr010788,Mali,Koloko,6,1
icr010808,Mali,Koloko,7,2
icr010809,Mali,Koloko,7,2
icr010826,Mali,Koloko,8,1
icr010827,Mali,Koloko,8,1
icr010845,Mali,Koloko,9,1
icr010846,Mali,Koloko,9,1
icr010865,Mali,Koloko,10,1
icr010866,Mali,Koloko,10,1
icr010885,Mali,Koloko,11,1
icr010886,Mali,Koloko,11,1
icr010905,Mali,Koloko,12,1
icr010906,Mali,Koloko,12,1
icr010925,Mali,Koloko,13,1
icr010926,Mali,Koloko,13,1
icr010945,Mali,Koloko,14,1
icr010946,Mali,Koloko,14,1
icr010965,Mali,Koloko,15,1
icr010966,Mali,Koloko,15,1
icr010985,Mali,Koloko,16,1
icr010986,Mali,Koloko,16,1
icr011037,Burkina Faso,Bondigui,1,1
icr011038,Burkina Faso,Bondigui,1,1
icr011067,Burkina Faso,Bondigui,2,7
icr011068,Burkina Faso,Bondigui,2,7
icr011077,Burkina Faso,Bondigui,3,2
icr011078,Burkina Faso,Bondigui,3,2
icr011097,Burkina Faso,Bondigui,4,3
icr011098,Burkina Faso,Bondigui,4,3
icr011111,Burkina Faso,Bondigui,5,1
icr011112,Burkina Faso,Bondigui,5,1
icr011133,Burkina Faso,Bondigui,6,5
icr011134,Burkina Faso,Bondigui,6,5
icr011144,Burkina Faso,Bondigui,7,1
icr011145,Burkina Faso,Bondigui,7,1
icr011164,Burkina Faso,Bondigui,8,1
icr011165,Burkina Faso,Bondigui,8,1
icr011182,Burkina Faso,Bondigui,9,1
icr011183,Burkina Faso,Bondigui,9,1
icr011202,Burkina Faso,Bondigui,10,1
icr011203,Burkina Faso,Bondigui,10,1
icr011222,Burkina Faso,Bondigui,11,1
icr011223,Burkina Faso,Bondigui,11,1
icr011241,Burkina Faso,Bondigui,12,1
icr011242,Burkina Faso,Bondigui,12,1
icr011263,Burkina Faso,Bondigui,13,2
icr011264,Burkina Faso,Bondigui,13,2
icr011281,Burkina Faso,Bondigui,14,1
icr011282,Burkina Faso,Bondigui,14,1
icr011301,Burkina Faso,Bondigui,15,1
icr011302,Burkina Faso,Bondigui,15,1
icr011321,Burkina Faso,Bondigui,16,1
icr011322,Burkina Faso,Bondigui,16,1
icr011824,Tanzania,Bukwaya,1,1
icr011825,Tanzania,Bukwaya,1,1
icr011843,Tanzania,Bukwaya,2,2
icr011844,Tanzania,Bukwaya,2,2
icr011863,Tanzania,Bukwaya,3,1
icr011864,Tanzania,Bukwaya,3,1
icr011881,Tanzania,Bukwaya,4,1
icr011882,Tanzania,Bukwaya,4,1
icr011901,Tanzania,Bukwaya,5,1
icr011902,Tanzania,Bukwaya,5,1
icr011921,Tanzania,Bukwaya,6,1
icr011922,Tanzania,Bukwaya,6,1
icr011941,Tanzania,Bukwaya,7,1
icr011942,Tanzania,Bukwaya,7,1
icr011960,Tanzania,Bukwaya,8,1
icr011961,Tanzania,Bukwaya,8,1
icr011978,Tanzania,Bukwaya,9,3
icr011979,Tanzania,Bukwaya,9,3
icr011990,Tanzania,Bukwaya,10,1
icr011991,Tanzania,Bukwaya,10,1
icr012008,Tanzania,Bukwaya,11,1
icr012009,Tanzania,Bukwaya,11,1
icr012027,Tanzania,Bukwaya,12,1
icr012028,Tanzania,Bukwaya,12,1
icr012043,Tanzania,Bukwaya,13,1
icr012044,Tanzania,Bukwaya,13,1
icr012063,Tanzania,Bukwaya,14,1
icr012064,Tanzania,Bukwaya,14,1
