sample_id,country_name,region_name,Cluster,Plot,Latitude,Longitude,Altitude,Depth
icr005928,Tanzania,Chinyanghuku,1,1,-6.93070316,36.09182358,836,Topsoil
icr005929,Tanzania,Chinyanghuku,1,1,-6.93070316,36.09182358,836,Subsoil
icr005946,Tanzania,Chinyanghuku,2,1,-6.90836716,36.08665466,786,Topsoil
icr005947,Tanzania,Chinyanghuku,2,1,-6.90836716,36.08665466,786,Subsoil
icr005965,Tanzania,Chinyanghuku,3,1,-6.88353014,36.0907402,772,Topsoil
icr005966,Tanzania,Chinyanghuku,3,1,-6.88353014,36.0907402,772,Subsoil
icr005985,Tanzania,Chinyanghuku,4,2,-6.86680222,36.09944916,811,Topsoil
icr005986,Tanzania,Chinyanghuku,4,2,-6.86680222,36.09944916,811,Subsoil
icr005998,Tanzania,Chinyanghuku,5,1,-6.93858,36.1244,NA,Topsoil
icr005999,Tanzania,Chinyanghuku,5,1,-6.93858,36.1244,NA,Subsoil
icr006015,Tanzania,Chinyanghuku,6,1,-6.91083193,36.11650848,821,Topsoil
icr006016,Tanzania,Chinyanghuku,6,1,-6.91083193,36.11650848,821,Subsoil
icr006035,Tanzania,Chinyanghuku,7,1,-6.88956308,36.12222672,789,Topsoil
icr006036,Tanzania,Chinyanghuku,7,1,-6.88956308,36.12222672,789,Subsoil
icr006055,Tanzania,Chinyanghuku,8,1,-6.86175203,36.11831284,789,Topsoil
icr006056,Tanzania,Chinyanghuku,8,1,-6.86175203,36.11831284,789,Subsoil
icr006076,Tanzania,Chinyanghuku,9,5,-6.93122,36.1357,0,Topsoil
icr006077,Tanzania,Chinyanghuku,9,5,-6.93122,36.1357,0,Subsoil
icr006085,Tanzania,Chinyanghuku,10,2,-6.90524,36.1372,0,Topsoil
icr006086,Tanzania,Chinyanghuku,10,2,-6.90524,36.1372,0,Subsoil
icr006101,Tanzania,Chinyanghuku,11,1,-6.88657,36.1374,0,Topsoil
icr006102,Tanzania,Chinyanghuku,11,1,-6.88657,36.1374,0,Subsoil
icr006121,Tanzania,Chinyanghuku,12,1,-6.86209822,36.14105606,849,Topsoil
icr006122,Tanzania,Chinyanghuku,12,1,-6.86209822,36.14105606,849,Subsoil
icr006142,Tanzania,Chinyanghuku,13,5,-6.92808008,36.16547012,999,Topsoil
icr006143,Tanzania,Chinyanghuku,13,5,-6.92808008,36.16547012,999,Subsoil
icr006152,Tanzania,Chinyanghuku,14,3,-6.90498781,36.16339493,1182,Topsoil
icr006153,Tanzania,Chinyanghuku,14,3,-6.90498781,36.16339493,1182,Subsoil
icr006164,Tanzania,Chinyanghuku,15,2,-6.88443995,36.16698837,1005,Topsoil
icr006165,Tanzania,Chinyanghuku,15,2,-6.88443995,36.16698837,1005,Subsoil
icr006179,Tanzania,Chinyanghuku,16,1,-6.87134,36.1579,0,Topsoil
icr006180,Tanzania,Chinyanghuku,16,1,-6.87134,36.1579,0,Subsoil
icr006454,Tanzania,Pandambili,1,1,-6.12600994,36.44020081,1031,Topsoil
icr006455,Tanzania,Pandambili,1,1,-6.12600994,36.44020081,1031,Subsoil
icr006474,Tanzania,Pandambili,2,1,-6.08874989,36.43598175,1089,Topsoil
icr006475,Tanzania,Pandambili,2,1,-6.08874989,36.43598175,1089,Subsoil
icr006492,Tanzania,Pandambili,3,1,-6.06394,36.4405,0,Topsoil
icr006493,Tanzania,Pandambili,3,1,-6.06394,36.4405,0,Subsoil
icr006510,Tanzania,Pandambili,4,1,-6.04692984,36.4438591,1125,Topsoil
