sample_id,country_name,country_code,region_name,subdivision_name,subdivision_type,spc
08_669,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.31371529
08_670,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.32256179
08_671,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.29160304
08_672,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.31731123
08_673,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.32564737
08_674,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.3372063
08_675,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.33667055
08_676,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.3307299
08_677,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.39582893
08_683,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.37965897
08_693,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.26540498
08_694,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.29986012
08_695,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.31796069
08_696,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.33268858
08_697,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.3261129
08_698,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.28007518
08_699,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.30910434
08_700,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.28569874
08_701,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.28501886
08_706,Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,0.25146348
08_718,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.42635413
08_719,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.41875094
08_720,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.42927642
08_721,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.38039316
08_722,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.36694209
08_723,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.41251795
08_730,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.47670408
09_864,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.46434326
09_892,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.34864943
09_904,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.32483135
09_921,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.34828922
09_945,Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,0.36305439
