country_name,country_code,province_name,subdivision_name,subdivision_type,institute_name
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Kipushi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Haut-Katanga,Lubumbashi,Territoire,"Ghent University, Universite de Lubumbashi"
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Walungu,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
Democratic Republic of Congo,COD,Sud-Kivu,Kabare,Territoire,IITA Kalambo
