sample_id,tc,tn
icr005928,0.472341756,0.034659319
icr005929,0.267117788,0.022545991
icr005946,0.404901157,0.031389142
icr005947,0.245474055,0.017422978
icr005965,1.143696864,0.086142813
icr005966,0.762786309,0.053300625
icr005985,1.528926293,0.156864509
icr005986,1.301443656,0.076236707
icr005998,0.65791597,0.069543426
icr005999,0.453510652,0.054425529
icr006015,0.364220609,0.039477115
icr006016,0.370883167,0.040625588
icr006035,0.366569877,0.042164549
icr006036,0.240818659,0.028153601
icr006055,0.791180034,0.060083006
icr006056,0.51521039,0.049827166
icr006076,1.108943105,0.110944492
icr006077,0.980122626,0.090885306
icr006085,1.555941383,0.121205037
icr006086,1.012610773,0.082941564
icr006101,1.188027819,0.108517634
icr006102,0.582100848,0.048362871
icr006121,0.518075198,0.056292893
icr006122,0.249405538,0.028639069
icr006142,2.256526391,0.214322835
icr006143,1.140547991,0.102257937
icr006152,1.323036631,0.117985703
icr006153,0.503590047,0.041423264
icr006164,3.268205881,0.258502712
icr006165,1.047313571,0.08065524
icr006179,1.242857695,0.100637299
icr006180,1.588119626,0.123373546
icr006454,0.882089317,0.055318703
icr006455,0.88370798,0.060488174
icr006474,0.598560651,0.040729359
icr006475,0.453125358,0.041521359
icr006492,0.925215205,0.08068077
icr006493,0.544098993,0.043240161
icr006510,0.931660553,0.086052254
icr006511,0.430622886,0.041624534
icr006530,0.752180239,0.07258634
icr006531,0.475303104,0.047431375
icr006550,0.852792561,0.077213007
icr006551,0.617005189,0.054694685
icr006570,0.560304503,0.04033243
icr006571,0.574421426,0.043959312
icr006586,0.89146481,0.082718246
icr006587,0.764568388,0.109610155
icr006606,0.593879044,0.073158681
icr006607,0.399995059,0.061518307
icr006626,0.453769177,0.05359711
icr006627,0.463206808,0.063998638
icr006646,0.726723452,0.07014447
icr006647,0.469803333,0.050267606
icr006666,0.596927265,0.056980527
icr006667,0.440038512,0.034039249
icr006684,0.771425168,0.080756016
icr006685,0.632139822,0.062955617
icr006704,0.637213349,0.056628985
icr006705,0.460546225,0.065934372
icr006724,0.659003993,0.068269312
icr006725,0.404264788,0.056535953
icr006744,0.413168222,0.044392766
icr006745,0.301947445,0.024678911
icr007730,1.716268063,0.141924381
icr007731,0.856958687,0.081407562
icr007750,1.2984927,0.088425323
icr007751,0.782526016,0.049152231
icr007770,0.783800155,0.057461441
icr007771,0.311029606,0.020482502
icr007790,1.253797114,0.090958461
icr007791,0.889014602,0.066627335
icr007810,2.036045313,0.177993439
icr007811,0.930292279,0.070405383
icr007830,1.475597322,0.099086192
icr007831,1.1291067,0.06493476
icr007850,0.64674148,0.03764048
icr007851,0.311378479,0.015651371
icr007870,0.503087863,0.02598564
icr007871,0.349305928,0.016670497
icr007890,1.551310599,0.132570349
icr007891,1.51768595,0.129611865
icr007910,0.965725273,0.076446198
icr007911,0.62351194,0.050409816
icr007928,0.930443287,0.062263858
icr007929,0.567558289,0.038213193
icr007949,0.70631361,0.050003687
icr007950,0.804430932,0.056314172
icr007967,2.159644842,0.18022833
icr007968,1.208925009,0.096048217
icr007987,0.9273054,0.085908249
icr007988,0.769360542,0.063891925
icr008007,1.593530476,0.104814325
icr008008,1.071107507,0.061561815
icr008027,0.6579189,0.045380976
icr008028,0.357902497,0.021320672
icr009918,4.613147418,0.361976057
icr009919,2.857417107,0.197798724
icr009938,2.706331968,0.178065792
icr009939,1.383134842,0.076795998
icr009958,3.466258049,0.229184394
icr009959,1.26822257,0.063310951
icr009978,1.602199713,0.095818716
icr009979,0.795378586,0.040727819
icr009998,4.585239569,0.26708889
icr009999,2.466438691,0.122909099
icr010018,4.238911152,0.257454038
icr010019,1.66891257,0.076385717
icr010038,2.16902558,0.111901358
icr010039,0.960022529,0.060527361
icr010058,5.82178243,0.327397933
icr010059,2.865721782,0.134346132
icr010078,4.337770621,0.264286876
icr010079,2.087643743,0.094555194
icr010098,4.526394208,0.307892472
icr010099,1.92455411,0.112208272
icr010118,4.805897713,0.290011664
icr010119,1.691680074,0.079630941
icr010138,3.092115323,0.178595707
icr010139,1.534875751,0.064726417
icr010158,1.334586024,0.06731161
icr010159,0.543387632,0.039481468
icr010178,0.8659874,0.037785072
icr010179,0.397177746,0.017372607
icr010198,1.441575448,0.085753818
icr010199,1.567611575,0.090004191
icr010218,1.21952792,0.071327388
icr010219,0.646514654,0.041683188
icr010335,0.689957976,0.069484755
icr010336,0.501583606,0.067468819
icr010355,0.487769623,0.068551829
icr010356,0.373333146,0.062271346
icr010375,0.601250827,0.066438898
icr010376,0.405935864,0.061164446
icr010395,0.552799622,0.030071705
icr010396,0.685106456,0.062817729
icr010415,0.457598984,0.060359806
icr010416,0.364009589,0.047256334
icr010435,0.365466973,0.024076035
icr010436,0.269301096,0.015754848
icr010455,0.764300028,0.041687833
icr010456,0.498372485,0.032322689
icr010475,0.645592173,0.044966641
icr010476,0.298253089,0.023050626
icr010495,0.528453986,0.045120635
icr010496,0.415304273,0.020119211
icr010515,0.379836738,0.024044169
icr010516,0.313223193,0.02691169
icr010535,0.692535202,0.052018795
icr010536,0.419842233,0.031425785
icr010555,0.568480651,0.037450711
icr010556,0.350949059,0.026870569
icr010575,0.360303581,0.024954736
icr010576,0.226323908,0.019916877
icr010595,0.482170353,0.031672041
icr010596,0.388148864,0.025473007
icr010615,0.656244814,0.04688096
icr010616,0.42237556,0.027700294
icr010635,0.48756365,0.024318593
icr010636,0.364060104,0.019639745
icr010687,0.906855047,0.070424072
icr010688,0.648869832,0.056513159
icr010707,0.913117707,0.065296389
icr010708,0.475428333,0.047652566
icr010727,1.044369936,0.064688476
icr010728,0.557474097,0.04999485
icr010747,0.643959304,0.061655884
icr010748,0.436381688,0.059852372
icr010767,0.499814351,0.051111765
icr010768,0.3707787,0.049954961
icr010787,1.062184453,0.089021017
icr010788,0.567627569,0.061231776
icr010808,0.945174317,0.072538798
icr010809,0.551737686,0.064068936
icr010826,0.900955041,0.079128491
icr010827,0.409760008,0.055595412
icr010845,0.635022521,0.027100615
icr010846,0.427004784,0.038537998
icr010865,1.484371781,0.107703273
icr010866,1.053298473,0.100886834
icr010885,0.819564561,0.071738496
icr010886,0.500785679,0.064066547
icr010905,1.338344256,0.097669577
icr010906,0.813892841,0.075853544
icr010925,1.73037827,0.135084564
icr010926,0.673177679,0.046145019
icr010945,0.553238511,0.037145411
icr010946,0.481931001,0.033397633
icr010965,1.201330105,0.109909694
icr010966,0.882658104,0.098886547
icr010985,1.081680497,0.09020893
icr010986,0.738552729,0.091459309
icr011037,4.285297871,0.357614319
icr011038,3.240719159,0.226657629
icr011067,1.367145777,0.075246155
icr011068,1.03060768,0.050667415
icr011077,1.578462243,0.082935328
icr011078,0.98860544,0.047711169
icr011097,0.373607477,0.023292944
icr011098,0.226016204,0.012363386
icr011111,1.668670972,0.093642284
icr011112,0.981699705,0.0500109
icr011133,1.81133608,0.082908864
icr011134,0.83750701,0.040063221
icr011144,2.476447105,0.206078693
icr011145,1.527633866,0.108969743
icr011164,1.90269808,0.126464836
icr011165,1.312224428,0.079625425
icr011182,0.419314275,0.020467194
icr011183,0.772334973,0.037777813
icr011202,0.569930732,0.048290983
icr011203,0.295119425,0.029171207
icr011222,0.89250352,0.059817705
icr011223,0.349721491,0.036734464
icr011241,1.499913931,0.095913495
icr011242,0.652621388,0.053749271
icr011263,1.817060947,0.123587606
icr011264,0.64991494,0.057713745
icr011281,0.805802663,0.049990129
icr011282,0.481317918,0.03442249
icr011301,0.53404669,0.034938991
icr011302,0.334595273,0.023189217
icr011321,1.526908596,0.073188148
icr011322,0.937898099,0.045598652
icr011824,0.322105596,0.020033136
icr011825,0.159112747,0.00779712
icr011843,0.316375752,0.0190911
icr011844,0.200462441,0.008465973
icr011863,0.329901328,0.025076496
icr011864,0.247351855,0.017473778
icr011881,0.141089703,0.008475824
icr011882,0.108012823,0.006330052
icr011901,1.01197954,0.067615849
icr011902,0.489278098,0.038146558
icr011921,0.748484472,0.052576578
icr011922,0.368725191,0.027551214
icr011941,0.336908658,0.025492538
icr011942,0.233118574,0.014944688
icr011960,0.878893356,0.082235334
icr011961,0.320390056,0.02348458
icr011978,1.112474124,0.07763874
icr011979,0.790197472,0.052301561
icr011990,0.676987787,0.049136821
icr011991,0.636477907,0.036158744
icr012008,0.571782808,0.046068706
icr012009,0.567824821,0.042854248
icr012027,0.699952563,0.053178199
icr012028,0.877578139,0.031565517
icr012043,1.006554882,0.085110329
icr012044,0.688444853,0.056581013
icr012063,1.056932807,0.053332639
icr012064,0.910674512,0.033339354
icr012083,0.506501387,0.03409832
icr012084,0.403007368,0.034696919
icr012087,0.633952697,0.059860431
icr012088,0.549145202,0.051050154
icr014408,2.015077829,0.199325949
icr014409,0.779338102,0.070426526
icr014428,1.072905103,0.077348975
icr014429,0.890476008,0.053271316
icr014448,2.40833354,0.225069816
icr014449,1.059427798,0.08346764
icr014468,1.052000483,0.082338167
icr014469,0.620803197,0.038213905
icr014488,2.990458965,0.284870227
icr014489,1.538399537,0.118260523
icr014508,2.741214991,0.214056248
icr014509,1.281696677,0.094442976
icr014528,1.645268997,0.105268277
icr014529,1.334475199,0.095054383
icr014548,2.359157721,0.175624679
icr014549,1.256007512,0.083160219
icr014568,0.83188951,0.055203357
icr014569,0.404354274,0.027588509
icr014588,0.518128594,0.030680691
icr014589,0.954443296,0.048629892
icr014608,1.38376085,0.094548886
icr014609,0.799682796,0.047214701
icr014628,0.907939017,0.062165445
icr014629,0.534011364,0.03007296
icr014648,1.290003022,0.090629014
icr014649,0.661261717,0.033442613
icr014668,0.876246075,0.064491483
icr014669,0.382754713,0.029539288
icr014688,0.37350746,0.025794325
icr014689,0.260509863,0.018392568
icr014708,1.253481468,0.065575324
icr014709,0.926790853,0.045539814
icr014743,0.473119825,0.038629666
icr014744,0.316525385,0.030218734
icr014763,0.5021393,0.039724264
icr014764,0.446111172,0.043737849
icr014783,0.303284124,0.023537151
icr014784,0.218566999,0.023332885
icr014803,0.690867722,0.041180192
icr014804,0.875825316,0.054154351
icr014823,0.875904649,0.050795611
icr014824,0.730074346,0.04365086
icr014843,0.268110335,0.014267904
icr014844,0.176523253,0.011207905
icr014863,1.529244065,0.090945441
icr014864,1.251536131,0.066761643
icr014883,1.861313045,0.101191357
icr014884,1.402971745,0.09964174
icr014903,0.737558484,0.043934291
icr014904,0.666638196,0.035624772
icr014923,0.93753013,0.05452805
icr014924,0.703397334,0.045150401
icr014943,0.769844621,0.048183208
icr014944,0.56919533,0.034169341
icr014963,0.519705951,0.039830012
icr014964,0.394846514,0.017160348
icr014983,1.654227972,0.081371389
icr014984,0.525610983,0.034424067
icr015003,0.628030509,0.045460975
icr015004,1.487380385,0.073099438
icr015023,0.718943894,0.039772704
icr015024,0.472635642,0.025733922
icr015043,1.301680565,0.072562519
icr015044,1.159866095,0.053006195
icr015063,0.584044009,0.045149989
icr015064,0.339666232,0.028245008
icr015083,1.19134146,0.087432601
icr015084,0.530965477,0.046285802
icr015103,1.119541168,0.080970012
icr015104,0.797816813,0.061416502
icr015122,1.33714503,0.081980828
icr015123,0.869913936,0.06180287
icr015137,0.962216794,0.064108532
icr015138,0.569656104,0.040442612
icr015157,1.133680761,0.082645591
icr015158,0.602601081,0.053182969
icr015177,0.561597168,0.045694254
icr015178,0.412051439,0.042440103
icr015199,2.961665273,0.204524212
icr015200,3.249655485,0.258916944
icr015216,0.321438894,0.032033917
icr015217,0.299829051,0.027968683
icr015236,0.321377441,0.031593412
icr015237,0.230457395,0.023485306
icr015256,1.09540385,0.073696949
icr015257,0.986315638,0.063351985
icr015275,0.600217015,0.052867694
icr015276,0.487249248,0.045770253
icr015295,0.548380256,0.047716612
icr015296,0.282973141,0.02387797
icr015315,0.350932002,0.035511272
icr015335,2.414017439,0.155411527
icr015336,2.363021016,0.132922262
icr015352,0.557924271,0.043150391
icr015353,0.338215426,0.021278651
icr015432,2.424950957,0.228214234
icr015433,1.024743766,0.098551534
icr015452,1.607013106,0.156145766
icr015453,0.542731375,0.056224681
icr015472,1.07894522,0.117603406
icr015473,0.57543844,0.06201593
icr015492,2.307418466,0.217062876
icr015493,0.920537651,0.101038635
icr015512,1.370787919,0.156968549
icr015513,0.627694458,0.07532106
icr015532,2.289719462,0.260908559
icr015533,0.848645985,0.095935043
icr015552,1.84785831,0.188262604
icr015553,0.908977628,0.099656958
icr015572,1.713065684,0.176381342
icr015573,1.05034405,0.108796906
icr015592,0.676663995,0.072382994
icr015593,0.274388969,0.02684727
icr015612,0.807442784,0.082784098
icr015613,2.011856198,0.21086996
icr015632,1.187317193,0.10726488
icr015633,0.477898344,0.047839135
icr015652,1.282184899,0.122707069
icr015653,0.583723843,0.058793325
icr015672,0.672963381,0.064000044
icr015673,0.187209763,0.022356456
icr015692,1.354512453,0.11884582
icr015693,0.504982203,0.042885371
icr015712,1.141042769,0.101904918
icr015713,0.637552977,0.059599753
icr015732,1.010623634,0.097791895
icr015733,0.482145742,0.048862347
icr015752,0.716950983,0.074093159
icr015753,1.340881765,0.129181124
icr015772,1.53380543,0.147336528
icr015773,0.771462172,0.088715658
icr015792,0.984820902,0.113420468
icr015793,0.630607694,0.08121717
icr015812,1.126000881,0.12732935
icr015813,2.061508715,0.206136249
icr015832,0.533305645,0.067956019
icr015833,0.878392398,0.104467981
icr015852,1.377067387,0.145679936
icr015853,0.748864681,0.090789549
icr015872,1.478996515,0.158047698
icr015873,0.890405089,0.102006927
icr015892,0.876648217,0.097735163
icr015893,0.498111755,0.063953638
icr015912,2.51315403,0.259491816
icr015913,1.098787904,0.133987352
icr015932,2.229325056,0.236280657
icr015933,1.669787586,0.181095488
icr015952,1.659181952,0.148797043
icr015953,0.889477193,0.097648263
icr015972,1.571478069,0.160889566
icr015973,0.77481848,0.087862793
icr015992,0.804136455,0.080043882
icr015993,0.295316204,0.038457023
icr016012,2.730034471,0.279489771
icr016013,1.297192991,0.142326698
icr016032,2.663284063,0.260522515
icr016033,1.437954366,0.172586687
icr016052,1.958083272,0.212987557
icr016053,1.514464378,0.171474516
icr020848,0.629329592,0.04072064
icr020849,0.175710194,0.015861149
icr020868,0.433263823,0.025963782
icr020869,0.126683999,0.011694756
icr020888,0.793607861,0.057302721
icr020889,0.408557028,0.034704015
icr020908,1.03737551,0.064107869
icr020909,0.415483341,0.027733423
icr020927,0.912149847,0.051463353
icr020928,0.358631358,0.020524166
icr020947,0.729364097,0.044437544
icr020948,0.211959414,0.020379064
icr020970,0.940400988,0.051928692
icr020971,0.257371575,0.018358007
icr020986,0.653915375,0.036202684
icr020987,0.243997999,0.016751956
icr021004,0.823227406,0.047789358
icr021005,0.470626593,0.031419871
icr021023,0.837608278,0.055124875
icr021024,0.388088927,0.018354822
icr021043,0.250356182,0.021003946
icr021044,0.199555501,0.012773116
icr021063,0.398911297,0.024802629
icr021064,1.036380947,0.07882268
icr021083,0.324506924,0.02187674
icr021084,0.169894397,0.014606179
icr021103,0.50381133,0.031414896
icr021104,0.227411576,0.017376694
icr021123,0.645506769,0.038988626
icr021124,0.389461115,0.02499544
icr021141,0.808476746,0.049497176
icr021142,0.455159739,0.038828209
icr023116,0.705456585,0.034642624
icr023117,0.3071668,0.017368057
icr023136,0.804156989,0.03700871
icr023137,0.242220394,0.015909832
icr023155,0.945099294,0.049130771
icr023156,0.345589951,0.019630201
icr023175,1.696951091,0.083357401
icr023176,0.744328529,0.040634939
icr023195,1.286707997,0.054617053
icr023213,0.815553397,0.045129009
icr023214,0.355526686,0.023769136
icr023233,0.651545882,0.0344276
icr023234,0.334417716,0.020105551
icr023253,2.528603196,0.199043624
icr023254,0.772305131,0.054740347
icr023273,1.076065749,0.060187323
icr023274,0.50440751,0.03538849
icr023293,1.010255605,0.054155104
icr023294,0.354811907,0.018466492
icr023313,1.281576037,0.064001353
icr023314,0.69054082,0.033709847
icr023333,1.01337558,0.057402434
icr023334,0.546155334,0.033021236
icr023353,0.823494256,0.040913537
icr023354,0.441237241,0.02904036
icr023373,1.683924079,0.087603249
icr023374,0.660164267,0.038430896
icr023393,0.582318723,0.029343547
icr023394,0.369381323,0.020212841
icr023413,0.873636425,0.050277174
icr023414,0.500245497,0.032030395
icr023433,0.494823918,0.029047097
icr023434,0.274910361,0.01943629
icr023453,0.568888515,0.0421037
icr023454,0.59653151,0.044211676
icr023473,0.457687631,0.033753796
icr023474,0.276764274,0.017856475
icr023493,0.786475092,0.050998736
icr023494,0.39998503,0.026229771
icr023513,0.34827587,0.017224552
icr023514,0.538542837,0.029331075
icr023533,0.516303509,0.029823254
icr023534,0.308563754,0.020501235
icr023553,0.505984575,0.037271729
icr023554,0.283680573,0.021113157
icr023573,0.684687763,0.043850411
icr023574,0.539638579,0.032626534
icr023593,0.96573025,0.059525933
icr023594,0.55227378,0.035150712
icr023613,0.495683193,0.030744868
icr023614,0.277168557,0.019083789
icr023633,0.801552653,0.046489704
icr023634,0.577849835,0.035396505
icr023652,1.502325177,0.113265257
icr023653,0.856454372,0.06471388
icr023672,0.546519041,0.039640037
icr023673,0.361169577,0.030104752
icr023692,0.87271139,0.057288764
icr023693,0.354776457,0.025244157
icr023712,6.656471729,0.455425501
icr023713,4.702197075,0.283716261
icr023731,0.643968642,0.046643881
icr023732,0.362648129,0.030603115
icr024868,0.767510474,0.035629999
icr024869,0.409789309,0.012791114
icr024879,0.63601169,0.036460426
icr024880,0.536592185,0.022373024
icr024899,0.80939889,0.052298442
icr024900,0.460068613,0.02086671
icr024917,0.455203906,0.023302254
icr024918,0.135854073,0.007799921
icr024937,0.686609149,0.031477258
icr024938,0.312035725,0.009283903
icr024956,0.546098679,0.025405541
icr024957,0.33033067,0.009836202
icr024976,0.60642451,0.029006049
icr024977,0.252464712,0.012681007
icr024994,0.591400385,0.025078967
icr024995,0.281927869,0.011747103
icr025009,0.261977181,0.009654638
icr025010,0.47828716,0.016949764
icr025016,0.543635875,0.042223085
icr025017,0.307298779,0.025120091
icr025036,0.650458187,0.039954551
icr025037,0.318015203,0.021903615
icr025055,0.661104858,0.03975274
icr025056,0.222564332,0.017345479
icr025074,0.781006128,0.044531953
icr025075,0.405403778,0.021189016
icr025092,0.614075541,0.032175113
icr025093,0.279534101,0.012669286
icr025111,0.639358938,0.029446408
icr025112,0.313218474,0.00939915
icr025135,1.290501952,0.052383032
icr025136,0.956757396,0.031844445
icr030024,6.490470886,0.415241823
icr030025,4.040075541,0.280813366
icr030043,6.565240383,0.360293552
icr030044,4.647514582,0.267748579
icr030063,8.072318792,0.4730964
icr030064,5.155982733,0.319016173
icr030083,7.072728395,0.388820052
icr030084,4.789073229,0.25512071
icr030103,2.325729132,0.162919685
icr030104,1.028832495,0.074719325
icr030123,1.698055744,0.126569137
icr030124,1.145346403,0.076201491
icr030143,3.622333288,0.230490178
icr030144,2.500672102,0.159157395
icr030163,4.334142208,0.22099223
icr030164,1.998482704,0.114288837
icr030183,2.480116367,0.163289808
icr030184,2.538925052,0.139337771
icr030200,4.957332611,0.248900414
icr030201,7.088877916,0.37865968
icr030218,2.739890337,0.189911716
icr030219,1.641940594,0.128445871
icr030238,5.735410929,0.329080537
icr030239,3.726453066,0.228429206
icr030258,1.670336664,0.118790474
icr030259,1.295762181,0.091963965
icr030276,2.402908325,0.177613184
icr030277,1.547038198,0.12298999
icr030296,3.894529104,0.211671509
icr030297,2.97238183,0.164330445
icr030316,1.851151884,0.136999197
icr030317,1.529930055,0.113458868
icr030335,4.811767578,0.255379505
icr030336,4.338459253,0.190677531
icr030352,7.821618557,0.268838227
icr030353,8.006017447,0.202084929
