sample_id,tc,tn
icr005928,4.72341756,0.34659319
icr005929,2.67117788,0.22545991
icr005946,4.04901157,0.31389142000000003
icr005947,2.45474055,0.17422978
icr005965,11.43696864,0.86142813
icr005966,7.62786309,0.53300625
icr005985,15.28926293,1.5686450900000002
icr005986,13.01443656,0.76236707
icr005998,6.5791597,0.6954342600000001
icr005999,4.53510652,0.54425529
icr006015,3.6422060899999997,0.39477115
icr006016,3.7088316700000004,0.40625587999999996
icr006035,3.6656987699999997,0.42164549
icr006036,2.4081865899999997,0.28153601
icr006055,7.91180034,0.60083006
icr006056,5.1521039,0.49827166
icr006076,11.08943105,1.10944492
icr006077,9.80122626,0.90885306
icr006085,15.55941383,1.21205037
icr006086,10.126107730000001,0.8294156399999999
icr006101,11.88027819,1.08517634
icr006102,5.82100848,0.48362871
icr006121,5.18075198,0.56292893
icr006122,2.4940553800000003,0.28639069
icr006142,22.56526391,2.14322835
icr006143,11.40547991,1.0225793699999999
icr006152,13.230366309999999,1.17985703
icr006153,5.03590047,0.41423264000000004
icr006164,32.68205881,2.5850271200000003
icr006165,10.473135710000001,0.8065524000000001
icr006179,12.42857695,1.00637299
icr006180,15.88119626,1.2337354600000001
icr006454,8.82089317,0.5531870299999999
icr006455,8.8370798,0.60488174
icr006474,5.98560651,0.40729359
icr006475,4.53125358,0.41521359
icr006492,9.25215205,0.8068077
icr006493,5.44098993,0.43240161
icr006510,9.31660553,0.86052254
icr006511,4.30622886,0.41624533999999996
icr006530,7.5218023899999995,0.7258633999999999
icr006531,4.75303104,0.47431375
icr006550,8.52792561,0.77213007
icr006551,6.17005189,0.54694685
icr006570,5.6030450300000005,0.4033243
icr006571,5.74421426,0.43959312
icr006586,8.9146481,0.82718246
icr006587,7.64568388,1.09610155
icr006606,5.93879044,0.73158681
icr006607,3.99995059,0.61518307
icr006626,4.53769177,0.5359711
icr006627,4.63206808,0.63998638
icr006646,7.26723452,0.7014447
icr006647,4.6980333299999995,0.50267606
icr006666,5.969272650000001,0.56980527
icr006667,4.40038512,0.34039249
icr006684,7.71425168,0.80756016
icr006685,6.32139822,0.6295561700000001
icr006704,6.37213349,0.56628985
icr006705,4.6054622499999995,0.6593437200000001
icr006724,6.59003993,0.6826931199999999
icr006725,4.04264788,0.56535953
icr006744,4.13168222,0.44392766
icr006745,3.0194744499999997,0.24678911
icr007730,17.16268063,1.4192438099999998
icr007731,8.56958687,0.81407562
icr007750,12.984926999999999,0.88425323
icr007751,7.825260160000001,0.49152230999999996
icr007770,7.8380015499999995,0.57461441
icr007771,3.11029606,0.20482502
icr007790,12.53797114,0.90958461
icr007791,8.89014602,0.66627335
icr007810,20.360453129999996,1.77993439
icr007811,9.30292279,0.70405383
icr007830,14.755973220000001,0.9908619200000001
icr007831,11.291066999999998,0.6493475999999999
icr007850,6.4674148,0.3764048
icr007851,3.11378479,0.15651371
icr007870,5.03087863,0.2598564
icr007871,3.4930592799999998,0.16670497
icr007890,15.51310599,1.32570349
icr007891,15.176859499999999,1.29611865
icr007910,9.65725273,0.7644619800000001
icr007911,6.2351194,0.5040981600000001
icr007928,9.30443287,0.6226385799999999
icr007929,5.67558289,0.38213193
icr007949,7.0631361,0.50003687
icr007950,8.04430932,0.5631417200000001
icr007967,21.59644842,1.8022833
icr007968,12.08925009,0.96048217
icr007987,9.273054,0.85908249
icr007988,7.693605420000001,0.63891925
icr008007,15.93530476,1.04814325
icr008008,10.71107507,0.61561815
icr008027,6.5791889999999995,0.45380976000000006
icr008028,3.57902497,0.21320672
icr009918,46.13147418,3.6197605700000004
icr009919,28.57417107,1.97798724
icr009938,27.063319680000003,1.78065792
icr009939,13.831348420000001,0.7679599800000001
icr009958,34.662580489999996,2.29184394
icr009959,12.6822257,0.63310951
icr009978,16.021997130000003,0.95818716
icr009979,7.95378586,0.40727819
icr009998,45.852395689999994,2.6708889000000005
icr009999,24.66438691,1.22909099
icr010018,42.38911152,2.57454038
icr010019,16.6891257,0.7638571700000001
icr010038,21.6902558,1.11901358
icr010039,9.60022529,0.60527361
icr010058,58.2178243,3.2739793299999995
icr010059,28.65721782,1.34346132
icr010078,43.37770621,2.64286876
icr010079,20.876437430000003,0.94555194
icr010098,45.26394208,3.07892472
icr010099,19.2455411,1.1220827199999999
icr010118,48.05897713,2.9001166400000002
icr010119,16.91680074,0.79630941
icr010138,30.921153229999998,1.7859570699999998
icr010139,15.348757509999999,0.6472641699999999
icr010158,13.34586024,0.6731160999999999
icr010159,5.4338763199999995,0.39481468
icr010178,8.659874,0.37785072000000003
icr010179,3.97177746,0.17372607
icr010198,14.41575448,0.8575381799999999
icr010199,15.67611575,0.90004191
icr010218,12.1952792,0.71327388
icr010219,6.465146539999999,0.41683188000000004
icr010335,6.89957976,0.69484755
icr010336,5.01583606,0.67468819
icr010355,4.87769623,0.68551829
icr010356,3.73333146,0.6227134599999999
icr010375,6.01250827,0.66438898
icr010376,4.05935864,0.61164446
icr010395,5.52799622,0.30071705
icr010396,6.851064559999999,0.62817729
icr010415,4.57598984,0.60359806
icr010416,3.6400958900000004,0.47256334
icr010435,3.6546697299999997,0.24076034999999998
icr010436,2.69301096,0.15754848
icr010455,7.64300028,0.41687833
icr010456,4.98372485,0.32322689000000004
icr010475,6.45592173,0.44966641
icr010476,2.9825308900000005,0.23050626000000002
icr010495,5.284539860000001,0.45120635
icr010496,4.15304273,0.20119211
icr010515,3.79836738,0.24044169
icr010516,3.13223193,0.2691169
icr010535,6.92535202,0.52018795
icr010536,4.19842233,0.31425784999999995
icr010555,5.68480651,0.37450711
icr010556,3.50949059,0.26870569
icr010575,3.6030358099999997,0.24954736000000002
icr010576,2.26323908,0.19916877
icr010595,4.82170353,0.31672040999999995
icr010596,3.8814886399999997,0.25473007
icr010615,6.56244814,0.4688096
icr010616,4.2237556,0.27700294000000003
icr010635,4.875636500000001,0.24318593
icr010636,3.64060104,0.19639745
icr010687,9.06855047,0.70424072
icr010688,6.48869832,0.56513159
icr010707,9.13117707,0.65296389
icr010708,4.75428333,0.47652566
icr010727,10.44369936,0.64688476
icr010728,5.57474097,0.4999485
icr010747,6.43959304,0.61655884
icr010748,4.36381688,0.59852372
icr010767,4.99814351,0.5111176500000001
icr010768,3.707787,0.49954961
icr010787,10.62184453,0.8902101699999999
icr010788,5.67627569,0.61231776
icr010808,9.45174317,0.72538798
icr010809,5.51737686,0.6406893600000001
icr010826,9.00955041,0.7912849099999999
icr010827,4.09760008,0.55595412
icr010845,6.35022521,0.27100615
icr010846,4.27004784,0.38537997999999996
icr010865,14.84371781,1.07703273
icr010866,10.532984729999999,1.00886834
icr010885,8.19564561,0.71738496
icr010886,5.00785679,0.6406654700000001
icr010905,13.38344256,0.97669577
icr010906,8.13892841,0.75853544
icr010925,17.3037827,1.35084564
icr010926,6.7317767900000005,0.46145019000000004
icr010945,5.53238511,0.37145411000000006
icr010946,4.819310010000001,0.33397633000000004
icr010965,12.01330105,1.09909694
icr010966,8.82658104,0.98886547
icr010985,10.81680497,0.9020893000000001
icr010986,7.385527290000001,0.91459309
icr011037,42.85297871,3.5761431900000002
icr011038,32.407191590000004,2.26657629
icr011067,13.67145777,0.7524615499999999
icr011068,10.3060768,0.50667415
icr011077,15.784622429999999,0.8293532800000001
icr011078,9.886054399999999,0.47711169
icr011097,3.73607477,0.23292944
icr011098,2.26016204,0.12363386000000001
icr011111,16.68670972,0.9364228400000001
icr011112,9.816997050000001,0.5001089999999999
icr011133,18.1133608,0.8290886399999999
icr011134,8.3750701,0.40063221000000004
icr011144,24.76447105,2.06078693
icr011145,15.27633866,1.08969743
icr011164,19.0269808,1.26464836
icr011165,13.12224428,0.79625425
icr011182,4.19314275,0.20467194
icr011183,7.72334973,0.37777813
icr011202,5.69930732,0.48290983000000004
icr011203,2.95119425,0.29171207
icr011222,8.9250352,0.59817705
icr011223,3.49721491,0.36734464
icr011241,14.99913931,0.95913495
icr011242,6.52621388,0.53749271
icr011263,18.170609470000002,1.23587606
icr011264,6.4991494,0.5771374499999999
icr011281,8.05802663,0.49990129
icr011282,4.8131791800000006,0.3442249
icr011301,5.340466900000001,0.34938991
icr011302,3.3459527300000005,0.23189217
icr011321,15.26908596,0.73188148
icr011322,9.37898099,0.45598652000000006
icr011824,3.22105596,0.20033136000000001
icr011825,1.59112747,0.0779712
icr011843,3.16375752,0.190911
icr011844,2.00462441,0.08465973
icr011863,3.29901328,0.25076496
icr011864,2.47351855,0.17473777999999998
icr011881,1.41089703,0.08475824
icr011882,1.08012823,0.06330052
icr011901,10.119795400000001,0.6761584900000001
icr011902,4.8927809799999995,0.38146557999999997
icr011921,7.48484472,0.52576578
icr011922,3.68725191,0.27551214
icr011941,3.3690865800000003,0.25492538
icr011942,2.33118574,0.14944688
icr011960,8.78893356,0.8223533399999999
icr011961,3.2039005599999997,0.23484580000000002
icr011978,11.12474124,0.7763874
icr011979,7.90197472,0.5230156100000001
icr011990,6.769877869999999,0.49136820999999997
icr011991,6.364779069999999,0.36158744
icr012008,5.71782808,0.46068706000000004
icr012009,5.67824821,0.42854247999999995
icr012027,6.99952563,0.53178199
icr012028,8.77578139,0.31565517
icr012043,10.06554882,0.85110329
icr012044,6.88444853,0.56581013
icr012063,10.56932807,0.53332639
icr012064,9.106745120000001,0.33339354
icr012083,5.0650138700000005,0.34098320000000004
icr012084,4.03007368,0.34696919
icr012087,6.33952697,0.59860431
icr012088,5.4914520200000005,0.51050154
icr014408,20.150778289999998,1.99325949
icr014409,7.79338102,0.70426526
icr014428,10.72905103,0.77348975
icr014429,8.90476008,0.53271316
icr014448,24.083335400000003,2.2506981600000002
icr014449,10.59427798,0.8346764
icr014468,10.520004830000001,0.8233816700000001
icr014469,6.2080319699999995,0.38213905
icr014488,29.904589650000002,2.8487022699999995
icr014489,15.383995370000001,1.18260523
icr014508,27.41214991,2.14056248
icr014509,12.81696677,0.94442976
icr014528,16.45268997,1.0526827699999999
icr014529,13.344751989999999,0.9505438300000001
icr014548,23.591577209999997,1.75624679
icr014549,12.56007512,0.8316021899999999
icr014568,8.3188951,0.55203357
